Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,1.86,-0.0287501215934753,1.55625027045608,
,,,1.865,-0.0575001239776611,1.52500027418137,
,,,1.87,-0.0287501215934753,1.52500027418137,
,,,1.875,-0.0575001239776611,1.49375027790666,
,,,1.88,-0.0287501215934753,1.49375027790666,
,,,1.885,-0.0287501215934753,1.46250028163195,
,,,1.89,-0.0287501215934753,1.46250028163195,
,,,1.895,-0.0287501215934753,1.43125028535724,
,,,1.9,-0.0287501215934753,1.40000028908253,
,,,1.905,-0.0287501215934753,1.40000028908253,
,,,1.91,-0.0575001239776611,1.33750029653311,
,,,1.915,-1.19209289550781E-07,1.36875029280782,
,,,1.92,-0.0287501215934753,1.3062503002584,
,,,1.925,-0.0287501215934753,1.33750029653311,
,,,1.93,-0.0287501215934753,1.24375030770898,
,,,1.935,-0.0575001239776611,1.21250031143427,
,,,1.94,-0.0287501215934753,1.18125031515956,
,,,1.945,-0.0575001239776611,1.15000031888485,
,,,1.95,-0.0287501215934753,1.15000031888485,
,,,1.955,-0.0287501215934753,1.08750032633543,
,,,1.96,-0.0287501215934753,1.11875032261014,
,,,1.965,-0.0287501215934753,1.02500033378601,
,,,1.97,-1.19209289550781E-07,1.05625033006072,
,,,1.975,-0.0287501215934753,1.02500033378601,
,,,1.98,-0.0287501215934753,1.02500033378601,
,,,1.985,-0.0287501215934753,1.02500033378601,
,,,1.99,-0.0287501215934753,1.02500033378601,
,,,1.995,-0.0287501215934753,0.993750337511301,
,,,2,-1.19209289550781E-07,1.02500033378601,
,,,2.005,-0.0287501215934753,1.02500033378601,
,,,2.01,-1.19209289550781E-07,0.993750337511301,
,,,2.015,-0.0575001239776611,0.993750337511301,
,,,2.02,-1.19209289550781E-07,0.993750337511301,
,,,2.025,-1.19209289550781E-07,0.993750337511301,
,,,2.03,-0.0287501215934753,0.993750337511301,
,,,2.035,-1.19209289550781E-07,0.993750337511301,
,,,2.04,-0.0287501215934753,0.993750337511301,
,,,2.045,-0.0575001239776611,0.962500341236591,
,,,2.05,-0.0575001239776611,0.962500341236591,
,,,2.055,-0.0287501215934753,0.931250344961882,
,,,2.06,-0.0287501215934753,0.993750337511301,
,,,2.065,-0.0287501215934753,0.962500341236591,
,,,2.07,-0.0287501215934753,0.962500341236591,
,,,2.075,-0.0575001239776611,0.931250344961882,
,,,2.08,-0.0575001239776611,0.962500341236591,
,,,2.085,-0.0287501215934753,0.931250344961882,
,,,2.09,-0.0287501215934753,0.962500341236591,
,,,2.095,-0.0287501215934753,0.931250344961882,
,,,2.1,-0.0287501215934753,0.931250344961882,
,,,2.105,-0.0287501215934753,0.931250344961882,
,,,2.11,-0.0287501215934753,0.931250344961882,
,,,2.115,-0.0287501215934753,0.931250344961882,
,,,2.12,-0.0287501215934753,0.868750352412462,
,,,2.125,-0.0287501215934753,0.931250344961882,
,,,2.13,-0.0287501215934753,0.900000348687172,
,,,2.135,-0.0287501215934753,0.931250344961882,
,,,2.14,-0.0287501215934753,0.900000348687172,
,,,2.145,-0.0287501215934753,0.931250344961882,
,,,2.15,-1.19209289550781E-07,0.900000348687172,
,,,2.155,-0.0287501215934753,0.900000348687172,
,,,2.16,-0.0287501215934753,0.931250344961882,
,,,2.165,-0.0287501215934753,0.931250344961882,
,,,2.17,-0.0862501263618469,0.868750352412462,
,,,2.175,-1.19209289550781E-07,0.900000348687172,
,,,2.18,-0.0575001239776611,0.900000348687172,
,,,2.185,-0.0287501215934753,0.900000348687172,
,,,2.19,-0.0575001239776611,1.43125028535724,
